epoch,reward,transcription_sim,audio_sim
1,0.4041243459526008,0.5958756540473992,0.0
2,0.234375,0.765625,0.0
3,0.43133566245632904,0.568664337543671,0.0
4,0.021040250929041826,1.0,0.021040250929041826
4,0.0,1.0,0.0
4,0.0,1.0,0.0
4,0.0,1.0,0.0
4,0.14266117969821668,0.8573388203017833,0.0
4,0.38265306122448983,0.6173469387755102,0.0
5,0.27569035762788596,0.724309642372114,0.0
6,0.4041243459526008,0.5958756540473992,0.0
7,0.6294896030245747,0.37051039697542537,0.0
8,0.8296800201562107,0.17031997984378935,0.0
9,0.1841048536551953,0.8573388203017833,0.04144367395697862
9,0.17638234352643556,0.8573388203017833,0.03372116382821888
9,0.0,1.0,0.0
9,0.0,1.0,0.0
9,0.0,1.0,0.0
9,0.0,1.0,0.0
9,0.0,1.0,0.0
9,0.0,1.0,0.0
9,0.14266117969821668,0.8573388203017833,0.0
9,0.14266117969821668,0.8573388203017833,0.0
10,0.6753497610009507,0.3511659807956104,0.026515741796561187
11,0.5160680529300568,0.48393194706994325,0.0
12,0.2944000000000001,0.7055999999999999,0.0
13,0.16230968112611321,0.8376903188738868,0.0
14,0.0,1.0,0.0
14,0.0,1.0,0.0
14,0.0,1.0,0.0
14,0.0,1.0,0.0
14,0.08506616257088839,0.9149338374291116,0.0
14,0.0,1.0,0.0
14,0.27569035762788596,0.724309642372114,0.0
15,0.6734693877551021,0.32653061224489793,0.0
16,0.08884297520661144,0.9111570247933886,0.0
16,0.17355371900826455,0.8264462809917354,0.0
17,0.17977928088287642,0.8202207191171236,0.0
18,0.3599999999999999,0.6400000000000001,0.0
19,0.1138725697244069,0.9245562130177515,0.038428782742158385
19,0.10652643182791749,0.9245562130177515,0.031082644845668972
19,0.3848519800076894,0.6151480199923106,0.0
20,0.39212869864981326,0.6078713013501867,0.0
21,0.859375,0.140625,0.0
22,0.33984375,0.66015625,0.0
23,0.46022490628904633,0.5397750937109537,0.0
24,0.3599999999999999,0.6400000000000001,0.0
25,0.1841831425598336,0.8158168574401664,0.0
26,0.11418685121107264,0.8858131487889274,0.0
26,0.11418685121107264,0.8858131487889274,0.0
26,0.818328406342381,0.18167159365761895,0.0
27,0.6251561849229488,0.3748438150770512,0.0
28,0.1526132385354102,1.0,0.1526132385354102
28,0.14814989428815456,1.0,0.14814989428815456
28,0.12187109872002044,1.0,0.12187109872002044
28,0.09878309307046756,1.0,0.09878309307046756
28,0.10084914028246644,1.0,0.10084914028246644
28,0.35920889720141785,0.7346938775510206,0.09390277475243841
29,0.1817372574781314,0.9184027777777779,0.10014003525590931
29,0.18093361864477947,0.9184027777777779,0.09933639642255737
29,0.13841946502666164,0.9184027777777779,0.05682224280443954
29,0.12422024829538808,0.9184027777777779,0.04262302607316598
